name,@lat,@lon,opening_hours
Coffee & Chocolate,35.9649553,-83.9188619,
Starbucks,35.9625759,-83.9198437,"Mo-Sa 06:30-19:00, Su 06:30-15:00"
Market House Cafe,35.9659052,-83.9197398,
Golden Roast,35.9557325,-83.9320289,
Status Dough,35.9658200,-83.9184550,
Old City Java,35.9700624,-83.9184553,"Mo-Fr 07:00-21:00, Sa-Su 08:00-21:00"
Awaken Coffee,35.9700300,-83.9194796,"Mo-Th 07:00-22:00, Fr 07:00-23:00, Sa 08:00-23:00, Su 14:00-21:00"
Pete's Coffee Shop,35.9639238,-83.9210203,
K Brew,35.9837209,-83.9220362,
Empty Cup,35.9214693,-84.0872042,
Vienna Coffee,35.9704992,-83.9221513,
Remedy Coffee,35.9745136,-83.9246361,
Capybara Cafe,35.9508645,-83.9396903,
K Brew,35.9260526,-84.0432267,Mo-Sa 07:00-18:00; Su 08:00-18:00
Starbucks,35.9645001,-83.9176553,
K Brew,35.9648398,-83.9182577,
Mahalo Coffee Roasters,35.9642057,-83.9207905,
OliBea,35.9683930,-83.9177394,"We-Fr 7:00-13:00, Sa-Su 8:00-14:00"
Jacks of Knoxville,35.9682194,-83.9203542,
Pedal Java,35.9702982,-83.9226274,
The Station Cafe,35.9637459,-83.9176702,
Tombras Cafe,35.9636829,-83.9171874,
Cairo Cafe,35.9630186,-83.9167797,
Hello Tea House,35.9629035,-83.9166564,
KBrew,35.9648270,-83.9184105,
Starbucks,36.0498605,-83.9999852,Mo-Su 07:00-21:00
Scruffy's Cafe,35.9819071,-83.9234216,
Starbucks,35.8627572,-84.0668436,
Starbucks,35.9003202,-84.1523360,
Starbucks,35.9259078,-84.0423262,Su-Th 05:00-21:00; Fr-Sa 05:00-21:30
Starbucks,35.9548250,-83.9376009,
Starbucks,35.9404495,-83.9855975,
Starbucks,35.9020071,-84.1506859,
Starbucks,35.9214105,-84.0929503,
Honeybee Coffee,35.9573588,-83.9089695,
Starbucks,36.0104197,-83.9705249,Mo-Su 05:00-21:00
Commonplace,35.9218555,-83.8792729,
